n_points,r2,mse,mae,mape
50,0.7234030996728633,0.0044435358630274995,0.044764557287097835,0.26619485136120813
51,0.721502689856578,0.004474065992479876,0.04553935137631464,0.2764351858979877
52,0.7345434616978379,0.004264565678883945,0.04344724425297212,0.2535020172905604
53,0.7366774342193856,0.004230283358948337,0.04329206169225879,0.2542752482400495
54,0.7638359518363221,0.0037939811195711387,0.04127103570595921,0.24880587594717268
55,0.772205823640631,0.0036595189275241504,0.039456541856416914,0.22972808872221334
56,0.7720485161647898,0.003662046075910832,0.039230371018333404,0.22579273274417036
57,0.771050966910395,0.003678071728699409,0.03935386451687792,0.2262067116400323
58,0.7717145045538172,0.003667411980482679,0.03934200887890039,0.22604137764458732
59,0.7803546869755428,0.0035286072418589656,0.039140396642675844,0.22620639313004862
60,0.7843786796045158,0.0034639617033939583,0.038134293659033015,0.21459291258418278
61,0.7542126061829995,0.00394858039918083,0.038776456506931956,0.20906432330254732
62,0.7514759645690503,0.003992544612595564,0.0388810049151857,0.20947906376385733
63,0.748992471234887,0.004032441992800813,0.038952844058080846,0.2069028387874812
64,0.752909486659117,0.003969515045705555,0.03780855700690095,0.19634889931040467
65,0.7544488708568097,0.003944784801507825,0.03769818189518893,0.1967942175448868
66,0.8476159820425154,0.002448052917243329,0.029729323008445763,0.16398580004076568
67,0.8459407913409533,0.002474964896195361,0.03020271536013595,0.16907220052367464
68,0.8584792391912438,0.002273534429608171,0.028592344010601314,0.15506504815111055
69,0.8594565278922026,0.002257834263098329,0.028411418796523938,0.15391756569623982
70,0.8667481529580231,0.0021406941308647343,0.027801216887900996,0.15327762078691937
71,0.8674198189351332,0.002129903800771611,0.02774524282934935,0.15325368974804002
72,0.8674504830164493,0.0021294111815670083,0.02761872629072152,0.151424980148278
73,0.868257572945754,0.0021164452624214502,0.027444152603456725,0.1502635141936559
74,0.8692567346052065,0.0021003937063068003,0.027268873178099732,0.148332502255503
75,0.8746830711099125,0.0020132194797156918,0.025995049217364365,0.1397978332214788
76,0.8675182173219809,0.0021283230283178915,0.02743821924117371,0.14855012773322307
77,0.8726425312857906,0.0020460008011176922,0.027045105777790186,0.14892930864474266
78,0.8734524903719131,0.002032988788898779,0.026542802597567732,0.14261983918173046
79,0.876109235178807,0.00199030811961296,0.026187959914374195,0.1400132080556997
80,0.8763121799432692,0.001987047807085833,0.026134156775573413,0.139225485455744
81,0.8736112827717826,0.002030437785171833,0.026632434192689566,0.14051374226020466
82,0.8730755517596052,0.002039044316780579,0.026767550209917338,0.1422213559453773
83,0.8735788141188088,0.0020309593948635647,0.02668219246786905,0.14158602705313003
84,0.8733262946550289,0.0020350161261287786,0.02671089402889347,0.14175911963690868
85,0.8780861012081499,0.0019585497192570766,0.025928911428898607,0.13265951628452147
86,0.8750008127457642,0.00200811495268587,0.026424998562621965,0.13747965215669727
87,0.8812807770487608,0.001907227174963511,0.02523341654478759,0.14803469961311266
88,0.9016334725888624,0.0015802606311057948,0.02332521274675485,0.1337720167019126
89,0.8816703179675554,0.0019009691907245954,0.025865535310608215,0.1335805145165815
90,0.887868079979655,0.0018014019947845763,0.02474319536075494,0.12870022982141438
91,0.8775133990106392,0.001967750193848309,0.026120266843027908,0.13619741891698087
92,0.9040262380394783,0.0015418207965340771,0.02257026829611265,0.12635195489702747
93,0.8800251595385453,0.0019273987004950306,0.025521118028983318,0.13493151396529077
94,0.8942786043583061,0.0016984167663034973,0.02383680355707637,0.13904248479971704
95,0.8641053841423226,0.0021831502755155475,0.026791388072980014,0.14078935803458817
96,0.8649443949502256,0.0021696715466867906,0.026938437366433796,0.1430136753901329
97,0.8834680450260591,0.0018720886622481427,0.024859447070711287,0.1404883126410439
98,0.873983978787679,0.00202445041470353,0.02511486090650362,0.13747387309141718
99,0.8746184435735258,0.002014257722643698,0.025075824121089815,0.13732980478621368
100,0.8998588079915006,0.0016087706605887558,0.021273029632757685,0.11493077796980337
101,0.9129255304314814,0.0013988534499995947,0.020944439181704175,0.12129059673745614
102,0.9088557373344315,0.0014642347740869378,0.02135196792941987,0.12258727088024131
103,0.9048843242944765,0.0015280356201884792,0.021343731841499392,0.12040071315203345
104,0.9081536495759835,0.0014755138308296793,0.02069365643193599,0.1153071127732285
105,0.9092301171690214,0.001458220353030783,0.02062607050203022,0.11527668892942652
106,0.9134527565304188,0.0013903835500268132,0.02053998400065399,0.10758543820723145
107,0.911446955972399,0.001422606784282511,0.02060152827974144,0.10722521873641962
108,0.8884430466168499,0.0017921651419152986,0.02137241181633394,0.1066563158152047
109,0.8892100139453322,0.001779843793317933,0.021928501875731827,0.10545026630716114
110,0.8891942087564313,0.0017800977040581464,0.02195301440561578,0.10569572647583186
